Título,Semilla,Estado,Frecuencia,Tamaño,Palabras_clave,Materia
"CEIP Juan Ramón Jiménez (Cartaya, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21000863/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Juan Gómez Márquez (Cumbres Mayores, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21001107/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Marismas de Hinojos (Hinojos, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21001259/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP San Fernando (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001296/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Tres de Agosto (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001302/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Tartessos (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001314/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Príncipe de España (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001375/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
IES Diego de Guzmán y Quesada (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001909/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
IES Alonso Sánchez (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001910/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
IES Alto Conquero (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21001995/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Pedro de Lope (Isla Cristina, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21002148a/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Las Gaviotas (Lepe, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21002203/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Fray Claudio (Trigueros, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21002884/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Don Bosco (Valverde del Camino, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21002951/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP San Vicente Mártir (Zalamea la Real, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21003086/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Manuel Siurot (La Palma del Condado, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21003232/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Reyes Católicos (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21003281/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Dunas de Doñana (Almonte, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21003426/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP José Oliva (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21003608/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
IES Fuentepiña (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21003712/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Las Viñas (Bollullos Par del Condado, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21003955/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Zenobia Camprubí (Moguer, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21600659/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Los Molinos (Valverde del Camino, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21600738/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Enebral (Punta Umbría, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21600763/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Profesora Pilar Martínez (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21600775/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
CEIP Tres Carabelas (Huelva),http://www.juntadeandalucia.es/averroes/centros-tic/21600829/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Los Taranjales (Almonte, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21600842/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP El Lince (Almonte, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21601007/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Catedrático Pulido Rubio (Bonares, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700061/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Cuenca Minera (Minas de Riotinto, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700290/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Puerta de Andalucía (Santa Olalla del Cala, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700319/helvia/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Francisco Garfias (Moguer, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700368/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Diego Rodríguez Estrada (San Juan del Puerto, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700371/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES San Blas (Aracena, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700381/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES José M. Morón y Barrientos  (Cumbres Mayores, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700447/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Alfonso Romero Barcojo ( Niebla, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700459/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES González de Aguilar (Ayamonte, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700496/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Guadiana (Ayamonte, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700502/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Puerta del Andévalo (San Bartolomé de la Torre, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700514/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Juan Antonio Pérez Mercader (Aljaraque, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700551/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Virgen del Socorro (Rociana del Condado, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700599/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Nuevo Milenio (Zalamea la Real, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700629/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"IES Doñana (Almonte, Huelva)",http://www.juntadeandalucia.es/averroes/centros-tic/21700654/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Huelva,Educación
"CEIP Fernando Molina (Albanchez de Mágina, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23000015/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP García Morente (Arjonilla, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23000726/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Ángel López Salazar (Baeza, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23000805/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Virgen de Cuadros (Bedmar y Garcíez, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23001056a/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Gregorio Aguilar (Cambil, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23001147/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Castillo de Alhabar (Cambil, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23001159/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Manuel Andújar (La Carolina, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23001263/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Santa Clara (La Higuera, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23001640/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Alfredo Cazabán (Jaén),http://www.juntadeandalucia.es/averroes/centros-tic/23002176/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Agustín Serrano de Haro (Jaén),http://www.juntadeandalucia.es/averroes/centros-tic/23002188/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP José Plata (Mengíbar, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23003181/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Nuestra Señora de la Encarnación (Peal de Becerro, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23003284/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP San Blas (La Puerta de Segura, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23003405/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Virgen del Tíscar (Quesada, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23003429/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Bachiller Pérez de Moya (Santisteban del Puerto, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23003612/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Santiago Apóstol (Valdepeñas de Jaén, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23004291/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Ntra. Sra. del Castillo (Vilches, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23004379/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Ntra. Sra. de la Fuensanta (Villanueva del Arzobispo, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23004604/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Francisco Badillo (Villatorres, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23004653/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Francisco Estepa Llaurens (Andújar, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23004941/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
IES Auringis (Jaén),http://www.juntadeandalucia.es/averroes/centros-tic/23005062/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Príncipe Felipe (Torredelcampo, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23005499/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Pero Xil (Torreperogil, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23005591/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Antonio Machado (Peal de Becerro, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23005931/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
CEIP Antonio Prieto (Jaén),http://www.juntadeandalucia.es/averroes/centros-tic/23009432/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP La Paz (Villatorres, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23601278/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP San José de Calasanz (Mancha Real, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23601311/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jáen,Educación
"CEIP San Marcos (Mancha Real, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23601321/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Gil de Zático (Torreperogil, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700244/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Puerta de Arenas (Campillo de Arenas, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700256/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES El Yelmo (Segura de la Sierra, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700268/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Virgen de la Cabeza (Marmolejo, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700293/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Nieves López Pastor (Villanueva del Arzobispo, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700499/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Juan del Villar (Arjonilla, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700591/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
IES Accabe (Bezmar y Garcíez. Jaén),http://www.juntadeandalucia.es/averroes/centros-tic/23700621/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Mateo Francisco de Rivas (Jabalquinto, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700700/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Alhajar (Pegalajar, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700761/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES valle del Guadalimar (Puente de Génave, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700773/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Iulia Salaria (Sabiote, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700797/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"IES Santa Engracia (Linares, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/23700888/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Nuestra Señora de la Paz (Chilluévar, Jaén)",http://www.juntadeandalucia.es/averroes/centros-tic/29007809/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Jaén,Educación
"CEIP Juan Ramón Jiménez (Fuente Palmera, Córdoba)",http://www.juntadeandalucia.es/averroes/centros-tic/41008830/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
CEIP Gloria Fuertes (Córdoba),http://www.juntadeandalucia.es/averroes/centros-tic/41602636/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Córdoba,Educación
Archivo General de Andalucía,http://www.juntadeandalucia.es/cultura/archivos/aga,Activa,Semestral,Mediano,Archivos / Instituciones culturales / Andalucía,Archivística
Archivo Histórico Provincial de Cádiz,http://www.juntadeandalucia.es/cultura/archivos/ahpcadiz,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Cádiz,Archivística
Archivo Histórico Provincial de Córdoba,http://www.juntadeandalucia.es/cultura/archivos/ahpcordobde,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Córdoba,Archivística
Archivo Histórico Provincial de Granada,http://www.juntadeandalucia.es/cultura/archivos/ahpgranada,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Granada,Archivística
Archivo Histórico Provincial de Huelva,http://www.juntadeandalucia.es/cultura/archivos/ahphuelva,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Huelva,Archivística
Archivo Histórico Provincial de Jaén,http://www.juntadeandalucia.es/cultura/archivos/ahpjaen,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Jaén,Archivística
Archivo Histórico Provincial de Sevilla,http://www.juntadeandalucia.es/cultura/archivos/ahpsevilla,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Sevilla,Archivística
Archivo de la Real Chancillería de Granada,http://www.juntadeandalucia.es/cultura/archivos/realchancilleria,Activa,Semestral,Mediano,Archivos / Instituciones culturales / Granada,Archivística
Archivo Histórico Minero de la Fundación Río Tinto,http://www.juntadeandalucia.es/cultura/archivos/riotinto,Activa,Semestral,Mediano,Archivos / Minería / Instituciones culturales / Huelva,Archivística
Archivo Histórico de Viana,http://www.juntadeandalucia.es/cultura/archivos/viana,Activa,Semestral,Mediano,Archivos privados / Instituciones culturales / Córdoba,Archivística
Archivo Histórico Provincial de Almería,http://www.juntadeandalucia.es/cultura/archivos/web_es/ahpalmeria,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Almería,Archivística
Archivo Histórico Provincial de Málaga,http://www.juntadeandalucia.es/cultura/archivos/web_es/ahpmalaga,Activa,Semestral,Mediano,Archivos históricos / Instituciones culturales / Málaga,Archivística
Centro Andaluz de Documentación del Flamenco,http://www.juntadeandalucia.es/cultura/centroandaluzflamenco/,Activa,Unica,Grande,Música / Flamenco / Instituciones culturales,Música
Consejería de Economía y Conocimiento,http://www.juntadeandalucia.es/organismos/economiayconocimiento.html,Inactiva,Mensual,Pequeno,Organismos administrativos / Administración autonómica / Comunidad Autónoma de Andalucía / Economía / Conocimiento,Administración
CEIP Torremar (Almería),http://www.juntdeandalucia.es/averroes/centros-tic/04004462/helvia/sitio/,Activa,Semestral,Pequeno,Educación / Centros docentes / Almería,Educación
"Canela La: teatro de Títeres (Alcalá la Real, Jaén)",http://www.lacanelatiteres.com,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Jaén,Arte
Confluencia La : colectivo escénico (Almería),http://www.laconfluencia.es,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Almería,Arte
Aceites San Antonio (Jaén),http://www.lacooperativasanantonio.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
La crónica de Andalucía,http://www.lacronicadeandalucia.com,Activa,Unica,Grande,Medios de comunicación social / Periódicos electrónicos / Andalucía,Prensa
Hermandad de la Estrella (Córdoba),http://www.laestrelladecordoba.com,Activa,Anual,Mediano,Religión / Semana Santa / Cofradías / Entidades religiosas / Córdoba,Religión
"Flor de La Alpujarra, La (Órgiva, Granada)",http://www.laflordelaalpujarra.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Granada,Alimentaria
"Gotera de Lazotea (Jerez de la Frontera, Cádiz)",http://www.lagoteradelazotea.es/web/,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Cádiz,Arte
Güasa La : compañía de circo/teatro (Córdoba),http://www.laguasacircoteatro.com,Activa,Semestral,Pequeno,Teatro / Circo / Compañías teatrales / Córdoba,Arte
Maquiné La (Granada),http://www.lamaquine.com,Activa,Semestral,Pequeno,Teatro de títeres / Compañías teatrales / Granada,Arte
Nördika Circo y Danza (Granada),http://www.lanordika.com,Activa,Semestral,Pequeno,Circo / Danza / Asociaciones / Granada,Juegos
La opinión de Cabra,http://www.laopiniondecabra.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
Palabra Teatro La (Granada),http://www.lapalabrateatro.com,Inactiva,Semestral,Pequeno,Teatro / Compañías teatrales / Granada,Arte
Ayuntamiento de La Palma del Condado,http://www.lapalmadelcondado.org,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Huelva,Administración
La plaza información: periódico digital de la Sierra Morena sevillana,http://www.laplazainformacion.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Sevilla / Andalucía,Prensa
"Bodegas Lara (Ronda, Málaga)",http://www.laraseleccion.com,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Málaga,Bebidas
Ayuntamiento de Las Gabias,http://www.lasgabias.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
Ayuntamiento de Lebrija,http://www.lebrija.es/es/inicio/,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Sevilla,Administración
Linares información,http://www.linaresinformacion.com,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Jaén / Andalucía,Prensa
La Carlota,http://www.localpaperlacarlota.es,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
"Bodega Los Barrancos (Lobres, Granada)",http://www.los-barrancos.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Granada,Bebidas
"CEIP Los Campanales (Las Lagunas, Málaga)",http://www.loscampanales.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Málaga,Educación
"Vinos de Cádiz, Los (Cádiz)",http://www.losvinosdecadiz.es,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Bebidas
"Asociación Astronómica Luz Cero (Campo de Gibraltar, Cádiz)",http://www.luz-cero.es,Activa,Semestral,Pequeno,Astronomía / Asociación / Cádiz,Astronomía
"CEIP Maestra Ángeles Cuesta (Marchena, Sevilla)",http://www.maestraangelescuesta.com,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
"CEIP Maestra Caridad Ruiz (Sanlúcar de Barrameda, Cádiz))",http://www.maestracaridadruiz.es,Activa,Semestral,Pequeno,Educación / Centros docentes / Cádiz,Educación
"Bodega El Maestro Sierra (Jerez de la Frontera, Cádiz)",http://www.maestrosierra.com/inicio/,Activa,Anual,Mediano,Vinos / Bodegas / Industria de las bebidas / Cádiz,Alimentaria
Malaje Solo (Sevilla),http://www.malajesolo.com,Activa,Semestral,Pequeno,Teatro / Compañías teatrales / Sevilla,Arte
Ayuntamiento de Marchena,http://www.marchena.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Sevilla,Administración
Mariposario de Nijar,http://www.mariposariodenijar.com,Activa,Anual,Mediano,Mariposas / Parques de atracciones / Almería,Zoología
Martos al dia.es,http://www.martosaldia.es,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Jaén / Andalucía,Prensa
Martos directo.com,http://www.martosdirecto.com,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Jaén / Andalucía,Prensa
Ayuntamiento de Medina-Sidonia,http://www.medinasidonia.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Cádiz,Administración
"Vera (Pinos Puente, Granada)",http://www.molinodevera.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Jaén,Alimentaria
Montilla noticias,http://www.montillanoticias.com,Inactiva,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Córdoba / Andalucía,Prensa
Ayuntamiento de Motril (Granada),http://www.motril.es/index.php?id=1,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Granada,Administración
Archivo del Museo Unicaja de Artes y Costumbres Populares,http://www.museoartespopulares.com/archivoold/historia-del-archivo/,Activa,Semestral,Mediano,Archivos / Instituciones culturales / Málaga,Archivística
Museo de Bellas Artes de Sevilla,http://www.museosdeandalucia.es/web/museodebellasartesdesevilla,Activa,Semestral,Mediano,Museos de arte / Instituciones culturales / Granada,Bellas artes
Ayuntamiento de Nijar,http://www.nijar.es,Activa,Semestral,Pequeno,Organismos administrativos / Ayuntamientos / Almería,Administración
Noticias 24,http://www.noticias24digital.com,Activa,Semanal,Pequeno,Medios de comunicación social / Periódicos electrónicos / Málaga / Andalucía,Prensa
Coro de Cámara Nova Mvsica (Cádiz),http://www.novamvsica.com,Activa,Anual,Mediano,Música coral / Coros / Asociaciones / Cádiz,Música
Nuestro Jaén,http://www.nuestrojaen.com,Activa,Semestral,Pequeno,Antropología cultural y social / Toros de lidia / Corridas de toros / Toreros / Tauromaquia / Jaén,Juegos
Orquesta Ciudad de Almería,http://www.ocal.es,Activa,Anual,Mediano,Música / Orquestas / Instituciones culturales / Almería,Música
"Caslun (Morón de la Frontera, Sevilla)",http://www.oleomoron.com/contacto.html,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Sevilla,Alimentaria
"Oli Brácana (Almedinilla, Córdoba)",http://www.olibracana.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
"S.C.A. Olivarera “Jesús Nazareno” (Aguilar de la Frontera, Córdoba)",http://www.olijnazarenoaguilar.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
"Olivar de Huelva (Niebla, Huelva)",http://www.olivardehuelva.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jamones / Huelva,Alimentaria
"S.C.A. Olivarera Ntra. Sra. del Carmen de Hinojosa del Duque (Hinojosa del Duque, Córdoba)",http://www.olivarerahinojosa.com/web/,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Córdoba,Alimentaria
"Orfeón Portuense (Puerto de Santa María, Cádiz)",http://www.orfeonportuense.com,Activa,Anual,Mediano,Música coral / Coros / Asociaciones / Cádiz,Música
"Oro Baena (Baena, Jaén)",http://www.orobaena.es,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Jaén,Alimentaria
"Oro de Cánava (Jimena, Jaén)",http://www.orodecanava.com,Activa,Anual,Mediano,Aceite de oliva / Almazaras / Cooperativas / Jaén,Alimentaria
"Orquesta Sinfónica Ciudad de Priego (Priego de Córdoba, Córdoba)",http://www.orquestadepriego.com,Activa,Anual,Mediano,Música / Orquestas / Asociaciones / Córdoba,Música
CEIP Ortiz de Zúñiga (Sevilla),http://www.ortizdezuniga.org,Activa,Semestral,Pequeno,Educación / Centros docentes / Sevilla,Educación
